shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,cycles_tested,total_scored_rows,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,expected_win_count_error,mean_absolute_adjustment,maximum_absolute_adjustment,mean_mae_change_vs_layer_2,mean_rmse_change_vs_layer_2,mean_brier_change_vs_layer_2,mean_log_loss_change_vs_layer_2,mean_absolute_error_rank,rmse_rank,brier_score_rank,log_loss_rank,expected_win_count_error_rank,combined_rank
0.6,1.0,0.75,0.5,3.0,1,400,4.757820825197057,6.266456174248143,0.9575,0.028993448655641414,0.09455524252149383,2.7523229967926284,0.6261772838055677,3.0,-0.13215705027095836,-0.20857821644689523,-0.003130412493206537,-0.008866629403304307,63.0,72.0,54.0,48.0,105.0,342.0
0.6,0.75,1.0,0.5,2.5,1,400,4.758493388506034,6.265310902935312,0.9575,0.02925106361703576,0.09526418926322401,2.735482094260618,0.6091663752835049,2.5,-0.13148448696198134,-0.20972348775972627,-0.0028727975318121914,-0.008157682661574128,71.0,69.0,90.0,86.0,48.0,364.0
0.6,1.0,1.0,1.0,2.5,1,400,4.7523190775698305,6.254922928328842,0.9575,0.029171953210743798,0.09498285689759686,2.7557346638095623,0.637602292671585,2.5,-0.13765879789818491,-0.22011146236619616,-0.0029519079381041535,-0.008439015027201277,44.0,45.0,78.0,72.0,132.0,371.0
0.45,1.0,1.0,0.5,4.0,1,400,4.75367404805663,6.260255585061851,0.9575,0.02932900979809638,0.09541540934468888,2.7397731295359335,0.5851867225802034,3.249117647058824,-0.13630382741138547,-0.21477880563318674,-0.002794851350751571,-0.008006462580109258,48.0,58.0,112.0,100.0,60.0,378.0
0.45,1.0,1.0,0.5,3.0,1,400,4.754374149866585,6.260514008132339,0.9575,0.029329009798052422,0.0954154073895063,2.739773911600196,0.5844866207702486,3.0,-0.1356037256014302,-0.21452038256269912,-0.002794851350795529,-0.008006464535291843,53.0,59.0,111.0,99.0,61.0,383.0
0.7,1.0,1.0,2.0,4.0,1,400,4.748882847073407,6.257031438766188,0.96,0.029370019386555955,0.09548180141046529,2.7486626842694477,0.5859521338883746,3.4945098039215683,-0.1410950283946084,-0.21800295192884978,-0.002753841762291997,-0.007940070514332848,33.0,49.0,119.0,106.0,93.0,400.0
0.45,1.0,1.0,0.5,2.5,1,400,4.757834742302361,6.264787350224505,0.9575,0.029329010150373824,0.09541568911573675,2.739661017830315,0.5783110104981678,2.5,-0.13214313316565462,-0.21024704047053344,-0.002794850998474128,-0.008006182809061388,64.0,68.0,113.0,101.0,59.0,405.0
0.7,1.0,1.0,2.0,3.0,1,400,4.750214464720466,6.257428760766715,0.96,0.0293700196458828,0.09548201251725276,2.748578293451743,0.5846205162413158,3.0,-0.13976341074754917,-0.21760562992832266,-0.002753841502965152,-0.00793985940754538,38.0,50.0,120.0,107.0,91.0,406.0
0.6,1.0,0.75,0.0,2.5,1,400,4.771363012539573,6.271559509114623,0.9575,0.029038678087560426,0.09473517727839312,2.7459573991229433,0.7228146159829753,2.5,-0.11861486292844248,-0.20347488158041482,-0.0030851830612875254,-0.008686694646405022,120.0,84.0,61.0,64.0,78.0,407.0
0.7,0.5,1.0,0.0,3.0,1,400,4.7621075583086325,6.272144698992125,0.9575,0.029077393288794582,0.09501439485688065,2.7549613360795604,0.6768729230940628,3.0,-0.1278703171593829,-0.2028896917029135,-0.0030464678600533694,-0.008407477067917488,79.0,86.0,67.0,75.0,123.0,430.0
