race_id,shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,layer_2_margin_dem,candidate_war_adjustment_dem,war_adjusted_margin_dem,actual_dem_margin,layer_2_absolute_error,war_adjusted_absolute_error,absolute_error_change
NY-16,0.7,1.0,1.0,0.0,4.0,43.56333333333333,0.0,43.56333333333333,23.857723705645835,19.705609627687497,19.705609627687497,0.0
NY-17,0.7,1.0,1.0,0.0,4.0,9.963333333333333,1.986764705882353,11.950098039215685,2.6497727491177723,7.31356058421556,9.300325290097913,1.9867647058823525
NY-18,0.7,1.0,1.0,0.0,4.0,6.263333333333334,0.0,6.263333333333334,2.2727856296562576,3.990547703677076,3.990547703677076,0.0
NY-19,0.7,1.0,1.0,0.0,4.0,2.4633333333333325,0.0,2.4633333333333325,-1.9017215980750368,4.36505493140837,4.36505493140837,0.0
NY-20,0.7,1.0,1.0,0.0,4.0,19.063333333333333,2.5117647058823533,21.575098039215685,11.843893927404793,7.21943940592854,9.731204111810893,2.511764705882353
NY-21,0.7,1.0,1.0,0.0,4.0,-16.53666666666667,-2.861764705882353,-19.398431372549023,-13.10351257004941,3.4331540966172582,6.2949188024996126,2.8617647058823543
NY-22,0.7,1.0,1.0,0.0,4.0,5.363333333333333,0.0,5.363333333333333,5.979976713713724,0.616643380380391,0.616643380380391,0.0
NY-23,0.7,1.0,1.0,0.0,4.0,-19.336666666666666,0.0,-19.336666666666666,-19.235870197239045,0.1007964694276211,0.1007964694276211,0.0
NY-24,0.7,1.0,1.0,0.0,4.0,-21.336666666666666,3.3446875,-17.991979166666667,-21.475877769021977,0.1392111023553113,3.4838986023553105,3.344687499999999
NY-25,0.7,1.0,1.0,0.0,4.0,19.563333333333333,-1.4107692307692306,18.152564102564103,11.181094073476263,8.38223925985707,6.97147002908784,-1.4107692307692297
NY-26,0.7,1.0,1.0,0.0,4.0,23.263333333333332,4.0,27.263333333333332,28.41026661360923,5.146933280275899,1.1469332802758991,-4.0
OH-1,0.7,1.0,1.0,0.0,4.0,4.363333333333333,-0.385,3.9783333333333335,5.5175158698570534,1.1541825365237202,1.53918253652372,0.3849999999999998
OH-2,0.7,1.0,1.0,0.0,4.0,-49.53666666666667,-1.8282352941176467,-51.364901960784316,-49.00760872094376,0.5290579457229114,2.3572932398405584,1.828235294117647
OH-3,0.7,1.0,1.0,0.0,4.0,43.66333333333333,-0.8955882352941175,42.76774509803921,40.90812490098417,2.755208432349157,1.8596201970550368,-0.8955882352941202
OH-4,0.7,1.0,1.0,0.0,4.0,-39.83666666666667,-0.1564705882352941,-39.99313725490197,-38.38969381987621,1.446972846790466,1.6034434350257598,0.15647058823529392
OH-5,0.7,1.0,1.0,0.0,4.0,-30.936666666666667,-2.9420588235294116,-33.87872549019608,-33.81796618524882,2.8812995185821535,0.06075930494726123,-2.8205402136348923
OH-6,0.7,1.0,1.0,0.0,4.0,-32.836666666666666,0.08235294117647057,-32.75431372549019,-35.445444267305795,2.6087776006391294,2.6911305418156033,0.08235294117647385
OH-7,0.7,1.0,1.0,0.0,4.0,-11.336666666666666,0.0,-11.336666666666666,-10.71142690555484,0.6252397611118266,0.6252397611118266,0.0
